-182.132, 42.605, 5.083, 13.760
-182.128, 42.264, 5.126, 13.827
-182.123, 41.920, 5.187, 13.894
-182.119, 41.570, 5.262, 13.961
-182.115, 41.216, 5.344, 14.028
-182.111, 40.856, 5.426, 14.095
-182.107, 40.490, 5.501, 14.162
-182.102, 40.121, 5.564, 14.229
-182.098, 39.748, 5.615, 14.296
-182.094, 39.372, 5.652, 14.363
-182.090, 38.995, 5.678, 14.430
-182.086, 38.616, 5.695, 14.497
-182.081, 38.236, 5.707, 14.564
-182.077, 37.856, 5.717, 14.631
-182.073, 37.474, 5.729, 14.698
-182.069, 37.092, 5.746, 14.765
-182.065, 36.708, 5.770, 14.832
-182.061, 36.322, 5.802, 14.899
-182.057, 35.934, 5.841, 14.966
-182.054, 35.542, 5.885, 15.033
-182.050, 35.148, 5.934, 15.100
-182.046, 34.750, 5.984, 15.167
-182.042, 34.349, 6.035, 15.234
-182.038, 33.945, 6.084, 15.301
-182.034, 33.537, 6.129, 15.368
-182.030, 33.127, 6.172, 15.435
-182.026, 32.714, 6.211, 15.502
-182.022, 32.299, 6.247, 15.569
-182.019, 31.881, 6.280, 15.636
-182.015, 31.461, 6.313, 15.703
-182.011, 31.039, 6.346, 15.770
-182.007, 30.615, 6.380, 15.837
-182.003, 30.188, 6.416, 15.904
-182.000, 29.759, 6.453, 15.971
-181.996, 29.327, 6.493, 16.038
-181.992, 28.893, 6.535, 16.105
-181.988, 28.456, 6.578, 16.172
-181.985, 28.015, 6.622, 16.239
-181.981, 27.572, 6.667, 16.306
-181.977, 27.126, 6.712, 16.373
-181.973, 26.677, 6.757, 16.440
-181.970, 26.224, 6.800, 16.507
-181.966, 25.769, 6.842, 16.574
-181.962, 25.312, 6.882, 16.641
-181.958, 24.851, 6.923, 16.708
-181.955, 24.388, 6.963, 16.775
-181.951, 23.923, 7.003, 16.842
-181.947, 23.454, 7.045, 16.909
-181.944, 22.983, 7.087, 16.976
-181.940, 22.509, 7.131, 17.043
-181.936, 22.031, 7.175, 17.110
-181.933, 21.551, 7.221, 17.177
-181.929, 21.068, 7.267, 17.244
-181.925, 20.582, 7.314, 17.311
-181.922, 20.092, 7.360, 17.378
-181.918, 19.600, 7.407, 17.445
-181.914, 19.104, 7.453, 17.512
-181.911, 18.605, 7.499, 17.579
-181.907, 18.103, 7.546, 17.646
-181.903, 17.598, 7.592, 17.713
-181.900, 17.090, 7.638, 17.780
-181.896, 16.579, 7.684, 17.847
-181.892, 16.065, 7.731, 17.914
-181.889, 15.548, 7.778, 17.981
-181.885, 15.027, 7.826, 18.048
-181.881, 14.503, 7.874, 18.115
-181.877, 13.977, 7.922, 18.182
-181.874, 13.446, 7.972, 18.249
-181.870, 12.913, 8.022, 18.316
-181.866, 12.376, 8.072, 18.383
-181.862, 11.836, 8.123, 18.450
-181.859, 11.292, 8.174, 18.517
-181.855, 10.745, 8.225, 18.584
-181.851, 10.194, 8.277, 18.651
-181.847, 9.640, 8.329, 18.718
-181.844, 9.083, 8.381, 18.785
-181.840, 8.522, 8.433, 18.852
-181.836, 7.958, 8.486, 18.919
-181.832, 7.390, 8.539, 18.986
-181.828, 6.818, 8.592, 19.053
-181.825, 6.243, 8.646, 19.120
-181.821, 5.665, 8.700, 19.187
-181.817, 5.082, 8.754, 19.254
-181.813, 4.496, 8.809, 19.321
-181.809, 3.907, 8.865, 19.388
-181.805, 3.313, 8.920, 19.455
-181.801, 2.716, 8.977, 19.522
-181.798, 2.116, 9.033, 19.589
-181.794, 1.511, 9.090, 19.656
-181.790, 0.903, 9.147, 19.723
-181.786, 0.290, 9.205, 19.790
-181.782, -0.326, 9.263, 19.857
-181.778, -0.946, 9.321, 19.924
-181.774, -1.570, 9.380, 19.991
-181.770, -2.197, 9.439, 20.058
-181.766, -2.829, 9.499, 20.125
-181.762, -3.465, 9.559, 20.192
-181.757, -4.105, 9.619, 20.259
-181.753, -4.749, 9.680, 20.326
-181.749, -5.396, 9.741, 20.393
-181.745, -6.048, 9.803, 20.460
-181.741, -6.704, 9.865, 20.527
-181.737, -7.365, 9.927, 20.594
-181.732, -8.029, 9.990, 20.661
-181.728, -8.698, 10.053, 20.728
-181.724, -9.371, 10.117, 20.795
-181.720, -10.048, 10.181, 20.862
-181.715, -10.729, 10.245, 20.929
-181.711, -11.415, 10.310, 20.996
-181.707, -12.105, 10.375, 21.063
-181.702, -12.799, 10.441, 21.130
-181.698, -13.498, 10.508, 21.197
-181.693, -14.202, 10.574, 21.264
-181.689, -14.909, 10.642, 21.331
-181.684, -15.622, 10.709, 21.398
-181.680, -16.338, 10.777, 21.465
-181.675, -17.060, 10.846, 21.532
-181.671, -17.786, 10.915, 21.599
-181.666, -18.516, 10.984, 21.666
-181.661, -19.252, 11.054, 21.733
-181.657, -19.991, 11.124, 21.800
-181.652, -20.736, 11.195, 21.867
-181.647, -21.485, 11.267, 21.934
-181.642, -22.239, 11.338, 22.001
-181.637, -22.998, 11.411, 22.068
-181.632, -23.762, 11.484, 22.135
-181.628, -24.531, 11.558, 22.202
-181.623, -25.305, 11.633, 22.269
-181.618, -26.083, 11.708, 22.336
-181.613, -26.867, 11.784, 22.403
-181.607, -27.656, 11.861, 22.470
-181.602, -28.450, 11.938, 22.537
-181.597, -29.249, 12.015, 22.604
-181.592, -30.053, 12.094, 22.671
-181.587, -30.863, 12.172, 22.738
-181.581, -31.677, 12.251, 22.805
-181.576, -32.497, 12.331, 22.872
-181.571, -33.323, 12.411, 22.939
-181.565, -34.154, 12.491, 23.006
-181.560, -34.990, 12.572, 23.073
-181.554, -35.831, 12.653, 23.140
-181.549, -36.678, 12.735, 23.207
-181.543, -37.531, 12.818, 23.274
-181.537, -38.389, 12.901, 23.341
-181.532, -39.252, 12.985, 23.408
-181.526, -40.122, 13.069, 23.475
-181.520, -40.997, 13.154, 23.542
-181.514, -41.877, 13.240, 23.609
-181.508, -42.763, 13.326, 23.676
-181.502, -43.655, 13.413, 23.743
-181.496, -44.553, 13.500, 23.810
-181.490, -45.457, 13.588, 23.877
-181.484, -46.367, 13.677, 23.944
-181.478, -47.282, 13.766, 24.011
-181.472, -48.204, 13.856, 24.078
-181.465, -49.131, 13.946, 24.145
-181.459, -50.065, 14.037, 24.212
-181.452, -51.004, 14.129, 24.279
-181.446, -51.950, 14.221, 24.346
-181.439, -52.902, 14.314, 24.413
-181.433, -53.860, 14.407, 24.480
-181.426, -54.825, 14.501, 24.547
-181.419, -55.795, 14.596, 24.614
-181.412, -56.772, 14.691, 24.681
-181.405, -57.756, 14.787, 24.748
-181.398, -58.746, 14.884, 24.815
-181.391, -59.742, 14.981, 24.882
-181.384, -60.745, 15.079, 24.949
-181.377, -61.754, 15.177, 25.016
-181.370, -62.770, 15.276, 25.083
-181.362, -63.793, 15.376, 25.150
-181.355, -64.822, 15.477, 25.217
-181.347, -65.858, 15.578, 25.284
-181.340, -66.901, 15.680, 25.351
-181.332, -67.951, 15.783, 25.418
-181.324, -69.007, 15.887, 25.485
-181.316, -70.071, 15.991, 25.552
-181.308, -71.141, 16.096, 25.619
-181.300, -72.219, 16.201, 25.686
-181.292, -73.303, 16.307, 25.753
-181.284, -74.395, 16.414, 25.820
-181.276, -75.493, 16.522, 25.887
-181.267, -76.599, 16.630, 25.954
-181.259, -77.713, 16.739, 26.021
-181.250, -78.833, 16.849, 26.088
-181.242, -79.961, 16.959, 26.155
-181.233, -81.096, 17.071, 26.222
-181.224, -82.239, 17.183, 26.289
-181.215, -83.389, 17.295, 26.356
-181.206, -84.547, 17.409, 26.423
-181.196, -85.713, 17.523, 26.490
-181.187, -86.886, 17.638, 26.557
-181.178, -88.066, 17.753, 26.624
-181.168, -89.254, 17.856, 26.691
-181.158, -90.448, 17.933, 26.758
-181.149, -91.645, 17.967, 26.825
-181.139, -92.841, 17.947, 26.892
-181.129, -94.033, 17.871, 26.959
-181.119, -95.218, 17.748, 27.026
-181.109, -96.394, 17.592, 27.093
-181.100, -97.558, 17.417, 27.160
-181.090, -98.710, 17.237, 27.227
-181.080, -99.851, 17.069, 27.294
-181.070, -100.982, 16.923, 27.361
-181.060, -102.105, 16.810, 27.428
-181.051, -103.223, 16.736, 27.495
-181.041, -104.338, 16.701, 27.562
-181.031, -105.452, 16.700, 27.629
-181.021, -106.567, 16.724, 27.696
-181.011, -107.684, 16.759, 27.763
-181.001, -108.803, 16.795, 27.830
-180.991, -109.925, 16.818, 27.897
-180.981, -111.046, 16.820, 27.964
-180.970, -112.166, 16.794, 28.031
-180.960, -113.284, 16.739, 28.098
-180.950, -114.396, 16.659, 28.165
-180.940, -115.501, 16.558, 28.232
-180.929, -116.600, 16.445, 28.299
-180.919, -117.691, 16.328, 28.366
-180.909, -118.774, 16.215, 28.433
-180.898, -119.850, 16.113, 28.500
-180.888, -120.921, 16.027, 28.567
-180.878, -121.987, 15.962, 28.634
-180.867, -123.049, 15.916, 28.701
-180.857, -124.109, 15.888, 28.768
-180.846, -125.168, 15.874, 28.835
-180.836, -126.226, 15.866, 28.902
-180.825, -127.284, 15.860, 28.969
-180.815, -128.341, 15.847, 29.036
-180.804, -129.397, 15.824, 29.103
-180.793, -130.450, 15.788, 29.170
-180.783, -131.501, 15.738, 29.237
-180.772, -132.547, 15.675, 29.304
-180.761, -133.589, 15.602, 29.371
-180.750, -134.625, 15.523, 29.438
-180.740, -135.656, 15.442, 29.505
-180.729, -136.682, 15.363, 29.572
-180.718, -137.703, 15.290, 29.639
-180.707, -138.720, 15.224, 29.706
-180.696, -139.732, 15.168, 29.773
-180.685, -140.742, 15.122, 29.840
-180.674, -141.748, 15.084, 29.907
-180.663, -142.753, 15.052, 29.974
-180.652, -143.755, 15.023, 30.041
-180.641, -144.756, 14.994, 30.108
-180.630, -145.754, 14.964, 30.175
-180.618, -146.750, 14.928, 30.242
-180.607, -147.744, 14.886, 30.309
-180.596, -148.734, 14.839, 30.376
-180.584, -149.721, 14.785, 30.443
-180.573, -150.704, 14.727, 30.510
-180.561, -151.683, 14.667, 30.577
-180.549, -152.658, 14.605, 30.644
-180.538, -153.629, 14.545, 30.711
-180.526, -154.596, 14.488, 30.778
-180.514, -155.560, 14.434, 30.845
-180.502, -156.520, 14.384, 30.912
-180.490, -157.477, 14.339, 30.979
-180.478, -158.431, 14.297, 31.046
-180.466, -159.382, 14.258, 31.113
-180.454, -160.331, 14.220, 31.180
-180.442, -161.278, 14.183, 31.247
-180.430, -162.222, 14.144, 31.314
-180.417, -163.163, 14.103, 31.381
-180.405, -164.101, 14.060, 31.448
-180.392, -165.037, 14.015, 31.515
-180.379, -165.969, 13.967, 31.582
-180.367, -166.898, 13.917, 31.649
-180.354, -167.823, 13.867, 31.716
-180.340, -168.746, 13.816, 31.783
-180.327, -169.664, 13.766, 31.850
-180.314, -170.580, 13.717, 31.917
-180.300, -171.492, 13.670, 31.984
-180.287, -172.402, 13.625, 32.051
